distance_m,speed_mps,speed_kph,throttle_pct,steer_deg,slope_pct,curvature
0.018777991767327487,0.18777991767327487,0.6760077036237896,71.81054420253517,21.138473133938493,0.0,0.016787774892504367
0.054844144989223215,0.3606615498653991,1.2983815795154368,67.56443394078002,-13.322178928460927,0.0,0.017035433446317225
0.1096472391194415,0.5480367878813681,1.9729324363729253,74.54823931981113,-13.564733083018432,0.0,0.017411754562496596
0.18166200544177388,0.7202065108377951,2.592743439016062,70.06206201325624,-3.836204198419323,0.0,0.01790626454726903
0.2708192407560565,0.8917018941507354,3.2101268189426477,71.1948687847459,-6.878373478323007,0.0,0.018518488197072722
0.37827501467971825,1.074914663795916,3.8696927896652973,77.52914628857783,20.180331612744016,0.0,0.019256363994500973
0.5024818462126903,1.242068354040146,4.4714460745445255,72.42453931847413,-7.000427172988931,0.0,0.02010926571878186
0.6425544362751845,1.4008501336832069,5.043060481259545,70.29452164426024,-19.186935399316685,0.0,0.02107111421064261
0.7999209256940378,1.575767872658292,5.672764341569851,78.86500577782873,-12.192471758105865,0.0,0.02215171620743165
0.9702880641953493,1.7090713981310244,6.152657033271688,61.79740707145949,-1.854656141444445,0.0,0.023321590878536164
1.157204755126449,1.8761986226891272,6.754315041680858,78.48839628002182,-8.810787371714113,0.0,0.024397324142064646
1.358208783559699,2.0231617963292674,7.283382466785363,70.75622927145714,21.761867368941083,0.0,0.025511900932963127
1.5748656290596779,2.1701734417156726,7.812624390176421,72.21791830761882,14.894039765801244,0.0,0.026713273330649906
1.8072910112447078,2.3246908518821097,8.368887066775596,77.4024474002423,3.1712931316644375,0.0,0.02800208300585088
2.0532588337003803,2.46001043892098,8.856037580115528,69.49492361038163,2.8499430139506106,0.0,0.028859190803638444
2.3143474793839225,2.6111469513950123,9.400129025022045,78.97559169580978,-8.149343591035313,0.0,0.027822497113961706
2.58896189072548,2.749681059783692,9.898851815221292,74.17918374940804,-18.57961757026262,0.0,0.02673209723622382
2.871593595695306,2.8509271206026634,10.263337634169588,55.83740990486928,23.58901955705039,0.0,0.025609863428324206
3.170137494839406,2.9877431168352797,10.755875220607008,76.02968968309494,-4.05524532521679,0.0,0.02396806931085305
3.4813540024451664,3.1184505216317424,11.226421877874273,74.30621050724797,17.22834179949602,0.0,0.021897524918364122
3.805810807946548,3.244641266056895,11.680708557804822,73.33622747439603,1.447628532661938,0.0,0.01973889193194563
4.143068069281455,3.372633331893047,12.141479994814969,75.92212322099272,-8.505473025710808,0.0,0.017343401259067637
4.49258845192258,3.4981237596908317,12.593245534886995,76.10232577971585,-13.765576901882703,0.0,0.014647421367862769
4.851992476563946,3.617838854748607,13.024219877094986,74.28345316376515,12.192191185467667,0.0,0.011875205292996259
5.223127812714387,3.71738412121929,13.382582836389444,63.44583656517197,-11.497331436297465,1.115639063571952,0.009457508466244826
5.599622818215828,3.7931426114193205,13.655313401109554,56.544246328168754,9.966761116293075,2.998114091079181,0.007304346800467107
5.984817050452565,3.861454413169258,13.90123588740933,64.33805048982727,-1.0672043688496775,4.924085252262897,0.0051014345636203155
6.376215854302514,3.926171044281247,14.13421575941249,75.00132508596428,-16.202547435532427,5.000000000000071,0.004904328054605703
6.766397454135926,3.961315878825835,14.260737163773006,57.14660627095098,16.482581705265257,5.000000000000071,0.004789958683145193
7.167717654421223,4.025411237668691,14.491480455607288,76.50354517912122,21.1965254325848,4.161411727893946,0.005382119392089155
7.572125410624055,4.048805530628653,14.57569991026315,44.98955472164397,-8.108444159762179,2.139372946879753,0.006975067201294021
7.9856344268115995,4.135098971611718,14.886356297802186,73.88731711677755,23.778878279692417,0.07182786594200352,0.008603864550798947
8.403932762193813,4.226691424194198,15.216089127099112,64.98907992628486,-24.807685689274994,0.0,0.008659265688455962
8.833079199322695,4.292308427156394,15.452310337763018,47.78283799087911,3.627830454870413,0.0,0.00865800741538622
9.273242384302481,4.401642215842733,15.845911977033838,78.96558009207803,-7.85552064251656,0.0,0.0073689676084966954
9.72350384996363,4.509457141109105,16.234045707992777,79.6676462522781,10.19970378944836,0.0,0.005245634553101573
10.18429892966073,4.608098436010872,16.58915436963914,74.78678764284905,3.752223751369013,0.0,0.0029001071962961996
10.65369370408958,4.696146796410029,16.906128467076105,68.48563101591125,-3.922023390972847,0.0,0.0002471506340391105
11.133319647500391,4.796290436359138,17.266645570892898,79.00792393758984,-13.78228937537439,0.0,-0.0022283366843096194
11.617498411759842,4.862464274046572,17.50487138656766,54.40870579012199,-11.026215431216185,0.0,-0.004110328371312203
12.105112193301107,4.9455809146770875,17.804091292837516,68.59321142205053,4.709787365562485,0.0,-0.005379069279351286
12.604758702416795,5.040222030490436,18.14479930976557,79.18297391120291,2.768300325567609,0.0,-0.0043426538619982785
13.11479980640223,5.130735928359979,18.470649342095925,77.58142657666784,20.892400694926334,0.5739990320111479,-0.0035119529921944187
13.632597594939405,5.185573090393582,18.668063125416896,54.0909229035622,-3.037217897313766,3.162987974697013,-0.0034630016081602785
14.151273984572933,5.189390577714738,18.681806079773057,33.05253277061468,8.55956598484764,4.999999999999982,-0.0038599969402365163
14.671699708783658,5.229376084685613,18.825753904868208,79.1854827791955,-14.561177358259414,4.999999999999982,-0.005345266975896928
15.197870445188176,5.26203070842538,18.94331055033137,73.67829471145411,-18.314083503246515,4.010647774059105,-0.005960569275305387
15.717463003317638,5.256564073743738,18.923630665477457,32.866337129451765,5.776764593987374,1.4126849834118043,-0.005115938579576346
16.247636858441822,5.3307275874838425,19.190619314941834,79.64609389490218,20.764939230066474,0.0,-0.00437401430618361
