s_m_mod,delta_deg_next,v_mps_next,u_throttle,P_elec_W,delta_deg_curr
1609.0711005241637,-0.70582409608027,11.171989580095314,0.6328010427282992,353.41508295044815,-0.6742002908935173
1610.8131389683867,-1.0214610163051365,11.171989587285967,0.6328010419904686,353.415082421634,-0.70582409608027
1612.5875283276646,-1.0845884003501098,11.171989594293741,0.6328010412714032,353.41508190626905,-1.0214610163051365
1614.3766083370383,-1.4205422069303866,11.171989601123288,0.6328010405706259,353.41508140401135,-1.0845884003501098
1616.2024247662148,-1.4877329682464417,11.171989607779139,0.6328010398876712,353.41508091452755,-1.4205422069303866
1618.0439479546067,-1.835094934197974,11.171989614265712,0.6328010392220861,353.41508043749275,-1.4877329682464417
1619.9252505690265,-1.9045673273882806,11.171989620587313,0.6328010385734288,353.4150799725904,-1.835094934197974
1621.8228611357108,-2.2205506081603046,11.171989626748136,0.6328010379412687,353.4150795195117,-1.9045673273882806
1623.7584986238062,-2.2837472643147096,11.171989632752272,0.6328010373251864,353.4150790779563,-2.2205506081603046
1625.7090007950783,-2.073340444012123,11.171989638603705,0.6328010367247728,353.4150786476309,-2.2837472643147096
1627.6363562237957,-1.8092772072161742,11.171989644306318,0.6328010361396295,353.4150782282499,-2.073340444012123
1629.5287984755623,-1.7564645598569844,11.171989649863898,0.6328010355693682,353.41507781953504,-1.8092772072161742
1631.4090325964053,-1.5354247977565196,11.171989655280132,0.6328010350136102,353.41507742121496,-1.7564645598569844
1633.263750199344,-1.4912168453364267,11.171989660558616,0.6328010344719868,353.41507703302534,-1.5354247977565196
1635.1082685569918,-1.2875952551675671,11.171989665702851,0.6328010339441384,353.4150766547085,-1.4912168453364267
1636.9300374332624,-1.2468709371337954,11.171989670716254,0.6328010334297149,353.41507628601346,-1.2875952551675671
1638.742433749895,-1.0594376687717761,11.171989675602152,0.6328010329283746,353.4150759266954,-1.2468709371337954
1640.5344189028938,-1.0219510150993723,11.171989680363787,0.6328010324397848,353.4150755765156,-1.0594376687717761
1642.3177951291427,-0.9841525793452094,11.171989685004318,0.6328010319636214,353.4150752352423,-1.0219510150993723
1644.0963643117784,-0.976592892194377,11.171989689526828,0.6328010314995682,353.4150749026485,-0.9841525793452094
1645.8731884507642,-1.0298400590962462,11.171989693934318,0.6328010310473171,353.4150745785132,-0.976592892194377
1647.6552192299778,-1.0908233313024944,11.171989698229712,0.6328010306065682,353.4150742626219,-1.0298400590962462
1649.4448541736592,-1.103019985743744,11.171989702415862,0.6328010301770288,353.4150739547646,-1.0908233313024944
1651.2373051304266,-1.1497696635839585,11.171989706495546,0.6328010297584138,353.4150736547369,-1.103019985743744
1653.0348790889975,-1.1591195991520014,11.171989710471472,0.6328010293504454,353.41507336233974,-1.1497696635839585
1654.8346102694804,-1.1976822055526655,11.171989714346278,0.6328010289528528,353.4150730773793,-1.1591195991520014
1656.6385707027284,-1.2053947268327982,11.171989718122536,0.6328010285653722,353.4150727996662,-1.1976822055526655
1658.444309305064,-1.3622609218013058,11.171989721802753,0.6328010281877464,353.4150725290161,-1.2053947268327982
1660.2666949907498,-1.3936341607950071,11.17198972538937,0.6328010278197247,353.4150722652493,-1.3622609218013058
1662.0963687170215,-1.581000948970362,11.17198972888477,0.632801027461063,353.4150720081912,-1.3936341607950071
1663.9469557260736,-1.6184743066054328,11.171989732291271,0.6328010271115231,353.41507175767066,-1.581000948970362
1665.806272764089,-1.8273506412107872,11.171989735611135,0.6328010267708729,353.4150715135216,-1.6184743066054328
1667.689582947677,-1.8691259081318579,11.171989738846564,0.6328010264388866,353.4150712755821,-1.8273506412107872
1669.582651477419,-2.095184065075668,11.171989741999708,0.6328010261153436,353.4150710436939,-1.8691259081318579
1671.5024749033391,-2.2454546297927593,11.171989745072658,0.6328010258000292,353.4150708177032,-2.095184065075668
1673.445171720089,-2.2755087427361778,11.171989748067453,0.6328010254927342,353.41507059746044,-2.2454546297927593
1675.3948825698635,-1.9246732988038953,11.171989750986082,0.6328010251932547,353.415070382819,-2.2755087427361778
1677.304672838788,-1.8545062100174388,11.171989753830482,0.6328010249013918,353.4150701736364,-1.9246732988038953
1679.1982651960416,-1.478080528599763,11.17198975660254,0.6328010246169518,353.4150699697739,-1.8545062100174388
1681.048809775758,-1.4027953923162277,11.171989759304099,0.6328010243397459,353.41506977109646,-1.478080528599763
1682.8820815793288,-1.035938624338278,11.171989761936947,0.6328010240695902,353.41506957747174,-1.4027953923162277
1684.6752444690746,-0.962567270742688,11.171989764502834,0.6328010238063053,353.41506938877154,-1.035938624338278
1686.4516494192494,-0.6093949386774001,11.171989767003463,0.6328010235497166,353.4150692048705,-0.962567270742688
1688.191178414144,-0.5387604722643426,11.171989769440495,0.6328010232996537,353.4150690256467,-0.6093949386774001
1689.9146381836244,-0.27130183902108224,11.171989771815547,0.6328010230559504,353.41506885098096,-0.5387604722643426
1691.6108775052517,-0.21781011237243017,11.171989774130193,0.6328010228184453,353.4150686807574,-0.27130183902108224
1693.2949583730324,-0.20152024592043158,11.17198977638597,0.6328010225869807,353.4150685148633,-0.21781011237243017
1694.9760768409133,-0.19826227263003185,11.171989778584377,0.6328010223614029,353.41506835318836,-0.20152024592043158
1696.6564500289887,-0.19193717927740808,11.171989780726872,0.6328010221415623,353.4150681956253,-0.19826227263003185
1698.336149803511,-0.19067216060688333,11.171989782814876,0.6328010219273128,353.41506804206944,-0.19193717927740808
1700.0155601306133,-0.18467075434438374,11.171989784849776,0.6328010217185124,353.415067892419,-0.19067216060688333
1701.6943817766141,-0.1834704730918838,11.171989786832924,0.6328010215150224,353.4150677465748,-0.18467075434438374
1703.372928806718,-0.17741380727792624,11.171989788765634,0.6328010213167076,353.4150676044395,-0.1834704730918838
1705.0508842740228,-0.17620247411513473,11.171989790649189,0.6328010211234366,353.41506746591926,-0.17741380727792624
1706.7285626202456,-0.17008170259457858,11.17198979248484,0.6328010209350812,353.41506733092206,-0.17620247411513473
1708.4056436503188,-0.16885754829046734,11.171989794273806,0.632801020751516,353.41506719935813,-0.17008170259457858
1710.0824446498982,-0.16267823946129753,11.171989796017272,0.6328010205726194,353.41506707114036,-0.16885754829046734
1711.7586430582369,-0.16144237769546357,11.171989797716396,0.6328010203982728,353.4150669461834,-0.16267823946129753
1713.4345587818125,-0.15521028618471466,11.171989799372307,0.6328010202283604,353.4150668244047,-0.16144237769546357
