Id	latitude	longitude	altitude (m)	distance (km)
126	25.48940884	51.4495518	9.7	0.126
127	25.48941674	51.44954699	9.7	0.127
128	25.48942465	51.44954219	9.7	0.128
129	25.48943255	51.44953739	9.7	0.129
130	25.48944047	51.44953261	9.7	0.130
131	25.48944838	51.44952782	9.7	0.131
132	25.4894563	51.44952304	9.7	0.132
133	25.48946419	51.44951821	9.8	0.133
134	25.48947208	51.44951338	9.8	0.134
135	25.48947997	51.44950854	9.8	0.135
136	25.48948784	51.44950369	9.8	0.136
137	25.48949571	51.44949882	9.8	0.137
138	25.48950358	51.44949394	9.9	0.138
139	25.48951146	51.44948908	9.9	0.139
140	25.48951937	51.44948429	9.9	0.140
141	25.48952728	51.44947949	9.9	0.141
142	25.48953518	51.4494747	9.9	0.142
143	25.48954307	51.44946985	9.9	0.143
144	25.48955094	51.44946498	10.0	0.144
145	25.4895588	51.44946011	10.0	0.145
146	25.48956667	51.44945523	10.0	0.146
147	25.48957455	51.44945037	10.0	0.147
148	25.48958242	51.44944551	10.0	0.148
149	25.4895903	51.44944065	10.0	0.149
150	25.48959817	51.44943579	10.0	0.150
151	25.48960605	51.44943092	10.0	0.151
152	25.48961392	51.44942606	10.1	0.152
153	25.48962179	51.44942119	10.1	0.153
154	25.48962965	51.4494163	10.1	0.154
155	25.48963751	51.4494114	10.1	0.155
156	25.48964537	51.44940651	10.1	0.156
157	25.48965324	51.44940164	10.2	0.157
158	25.48966112	51.44939678	10.2	0.158
159	25.489669	51.44939193	10.2	0.159
160	25.48967688	51.44938708	10.2	0.160
161	25.48968476	51.44938223	10.2	0.161
162	25.48969264	51.44937738	10.2	0.162
163	25.48970052	51.44937252	10.3	0.163
164	25.4897084	51.44936767	10.3	0.164
165	25.48971628	51.44936283	10.3	0.165
166	25.48972417	51.44935799	10.3	0.166
167	25.48973205	51.44935315	10.3	0.167
168	25.48973994	51.44934831	10.3	0.168
169	25.48974783	51.44934349	10.3	0.169
170	25.48975572	51.44933866	10.3	0.170
171	25.48976362	51.44933383	10.3	0.171
172	25.48977151	51.44932901	10.3	0.172
173	25.48977941	51.4493242	10.3	0.173
174	25.48978731	51.44931938	10.3	0.174
175	25.48979521	51.44931456	10.3	0.175
176	25.48980307	51.44930968	10.3	0.176
177	25.48981094	51.4493048	10.3	0.177
178	25.4898188	51.44929992	10.3	0.178
179	25.48982668	51.44929507	10.3	0.179
180	25.48983458	51.44929026	10.3	0.180
181	25.48984248	51.44928545	10.3	0.181
182	25.48985038	51.44928064	10.3	0.182
183	25.48985827	51.4492758	10.3	0.183
184	25.48986615	51.44927095	10.3	0.184
185	25.48987403	51.4492661	10.3	0.185
186	25.48988192	51.44926125	10.3	0.186
187	25.48988978	51.44925638	10.3	0.187
188	25.48989765	51.4492515	10.3	0.188
189	25.48990552	51.44924663	10.2	0.189
190	25.48991339	51.44924175	10.2	0.190
191	25.48992123	51.44923683	10.2	0.191
192	25.48992908	51.44923191	10.2	0.192
193	25.48993692	51.44922699	10.2	0.193
194	25.48994478	51.44922209	10.2	0.194
195	25.48995265	51.44921723	10.1	0.195
196	25.48996053	51.44921238	10.1	0.196
197	25.48996841	51.44920752	10.1	0.197
198	25.48997628	51.44920265	10.1	0.198
199	25.48998414	51.44919776	10.0	0.199
200	25.489992	51.44919287	10.0	0.200
201	25.48999986	51.44918798	10.0	0.201
202	25.49000772	51.4491831	9.9	0.202
203	25.49001559	51.44917821	9.9	0.203
204	25.49002345	51.44917333	9.8	0.204
205	25.49003132	51.44916845	9.8	0.205
206	25.49003918	51.44916356	9.7	0.206
207	25.49004703	51.44915866	9.7	0.207
208	25.49005489	51.44915376	9.7	0.208
209	25.49006275	51.44914887	9.6	0.209
210	25.4900706	51.44914397	9.6	0.210
211	25.49007846	51.44913907	9.5	0.211
212	25.49008632	51.44913417	9.5	0.212
213	25.49009417	51.44912927	9.5	0.213
214	25.49010204	51.4491244	9.4	0.214
215	25.49010991	51.44911953	9.4	0.215
216	25.49011778	51.44911466	9.3	0.216
217	25.49012565	51.44910979	9.3	0.217
218	25.49013352	51.44910491	9.3	0.218
219	25.49014138	51.44910002	9.2	0.219
220	25.49014925	51.44909514	9.2	0.220
221	25.49015711	51.44909026	9.1	0.221
222	25.49016499	51.4490854	9.1	0.222
223	25.49017287	51.44908055	9.1	0.223
224	25.49018075	51.44907571	9.0	0.224
225	25.49018863	51.44907086	9.0	0.225
226	25.49019652	51.44906601	8.9	0.226
